question_id,option_num,option_slug
10_1_1,1,yes
10_1_1,2,no
10_1_2,1,quarterly
10_1_2,2,annually
10_1_2,3,only_after_changes
10_1_2,4,only_after_major_changes
10_1_2,5,as_needed
10_1_2,6,no_formal_review
10_1_3,1,yes
10_1_3,2,no
10_1_4,1,incident_commander_lead
10_1_4,2,communications_lead
10_1_4,3,forensics_investigation_lead
10_1_4,4,it_operations
10_1_4,5,security_engineering
10_1_4,6,legal_privacy_officer
10_1_4,7,human_resources
10_1_4,8,public_relations_communications
10_1_4,9,external_ir_provider_consultant
10_1_4,10,business_unit_representatives
10_1_4,11,not_applicable
10_1_4,12,not_sure
10_1_5,1,regularly
10_1_5,2,annually
10_1_5,3,occasionally
10_1_5,4,never
10_1_5,5,not_sure
10_1_6,1,quarterly
10_1_6,2,annually
10_1_6,3,occasionally
10_1_6,4,never
10_1_7,1,yes
10_1_7,2,no
10_2_1,1,formal_documented_process
10_2_1,2,automated_system
10_2_1,3,manual_process
10_2_1,4,not_currently_implemented
10_2_1,5,not_sure
10_2_2,1,1_hour
10_2_2,2,1_4_hours
10_2_2,3,4_24_hours
10_2_2,4,24_hours
10_2_2,5,no
10_2_2,6,not_sure
10_2_3,1,yes
10_2_3,2,no
10_2_4,1,formal_documented_process
10_2_4,2,automated_system
10_2_4,3,manual_process
10_2_4,4,not_currently_implemented
10_2_4,5,not_sure
10_2_5,1,yes
10_2_5,2,no
10_2_6,1,formal_documented_process
10_2_6,2,automated_system
10_2_6,3,manual_process
10_2_6,4,not_currently_implemented
10_2_6,5,not_sure
10_3_1,1,yes
10_3_1,2,no
10_3_2,1,automated_scanning
10_3_2,2,manual_verification
10_3_2,3,third_party_assessment
10_3_2,4,no
10_3_2,5,not_sure
10_3_3,1,yes
10_3_3,2,no
10_3_4,1,yes
10_3_4,2,no
10_3_5,1,formal_documented_process
10_3_5,2,automated_system
10_3_5,3,manual_process
10_3_5,4,not_currently_implemented
10_3_5,5,not_sure
10_3_6,1,yes
10_3_6,2,no
11_1_1,1,yes
11_1_1,2,no
11_1_2,1,quarterly
11_1_2,2,annually
11_1_2,3,only_after_changes
11_1_2,4,only_after_major_changes
11_1_2,5,as_needed
11_1_3,1,yes
11_1_3,2,no
11_1_4,1,1_hour
11_1_4,2,1_4_hours
11_1_4,3,4_24_hours
11_1_4,4,24_hours
11_1_4,5,not_defined
11_1_5,1,yes
11_1_5,2,no
11_1_6,1,quarterly
11_1_6,2,annually
11_1_6,3,occasionally
11_1_6,4,never
11_2_1,1,yes
11_2_1,2,no
11_2_2,1,on_premises_data_center
11_2_2,2,co_location_facility
11_2_2,3,cloud_provider_iaas
11_2_2,4,managed_dr_service
11_2_2,5,hot_site
11_2_2,6,warm_site
11_2_2,7,cold_site
11_2_2,8,none_not_applicable
11_2_3,1,real_time_replication
11_2_3,2,near_real_time
11_2_3,3,scheduled_backups
11_2_3,4,manual_copying
11_2_3,5,no
11_2_4,1,quarterly
11_2_4,2,annually
11_2_4,3,occasionally
11_2_4,4,never
11_2_5,1,out_of_band_messaging
11_2_5,2,emergency_notification_system
11_2_5,3,dedicated_dr_communication_platform
11_2_5,4,satellite_backup_phone_system
11_2_5,5,alternate_email_system
11_2_5,6,predefined_conference_bridges
11_2_5,7,physical_rally_points
11_2_5,8,not_implemented
11_3_1,1,yes
11_3_1,2,no
11_3_2,1,yes
11_3_2,2,no
11_3_3,1,formal_documented_process
11_3_3,2,automated_system
11_3_3,3,manual_process
11_3_3,4,not_currently_implemented
11_3_4,1,regularly
11_3_4,2,annually
11_3_4,3,occasionally
11_3_4,4,never
11_3_5,1,formal_documented_process
11_3_5,2,automated_system
11_3_5,3,manual_process
11_3_5,4,third_party_managed
11_3_5,5,informal_process
11_3_5,6,not_currently_managed
11_3_6,1,yes
11_3_6,2,no
11_4_1,1,yes
11_4_1,2,no
11_4_2,1,formal_documented_process
11_4_2,2,automated_system
11_4_2,3,manual_process
11_4_2,4,not_currently_implemented
11_4_3,1,yes
11_4_3,2,no
11_4_4,1,yes
11_4_4,2,no
11_4_5,1,formal_documented_process
11_4_5,2,automated_system
11_4_5,3,manual_process
11_4_5,4,not_currently_implemented
11_4_6,1,yes
11_4_6,2,no
12_1_1,1,yes
12_1_1,2,no
12_1_2,1,security_questionnaire_assessment
12_1_2,2,soc_2_type_ii_or_iso_27001_certification
12_1_2,3,penetration_test_reports
12_1_2,4,data_processing_agreement_dpa
12_1_2,5,breach_notification_history
12_1_2,6,subprocessor_management
12_1_2,7,regulatory_compliance_attestations
12_1_2,8,contractual_slas_and_guarantees
12_1_2,9,not_applicable
12_1_3,1,high_medium_low
12_1_3,2,critical_important_standard
12_1_3,3,tiered_approach
12_1_3,4,no
12_1_4,1,fully_implemented
12_1_4,2,partially_implemented
12_1_4,3,planned
12_1_4,4,not_implemented
12_1_4,5,not_applicable
12_1_5,1,quarterly
12_1_5,2,annually
12_1_5,3,only_after_changes
12_1_5,4,only_after_major_changes
12_1_5,5,as_needed
12_1_6,1,yes
12_1_6,2,no
12_1_7,1,formal_documented_process
12_1_7,2,automated_system
12_1_7,3,manual_process
12_1_7,4,third_party_managed
12_1_7,5,informal_process
12_1_7,6,not_currently_managed
12_2_1,1,yes
12_2_1,2,no
12_2_2,1,option_1
12_2_2,2,option_2
12_2_2,3,option_3
12_2_2,4,option_4
12_2_2,5,not_applicable
12_2_3,1,cyber_liability
12_2_3,2,professional_liability
12_2_3,3,general_liability
12_2_3,4,all_of_the_above
12_2_3,5,none_required
12_2_4,1,standard_dpa
12_2_4,2,custom_agreements
12_2_4,3,vendor_templates
12_2_4,4,no
12_2_5,1,yes
12_2_5,2,no
12_2_6,1,formal_documented_process
12_2_6,2,automated_system
12_2_6,3,manual_process
12_2_6,4,third_party_managed
12_2_6,5,informal_process
12_2_6,6,not_currently_managed
12_3_1,1,automated_monitoring_tools
12_3_1,2,manual_reviews
12_3_1,3,combination_approach
12_3_1,4,third_party_service
12_3_1,5,not_monitored
12_3_2,1,yes
12_3_2,2,no
12_3_3,1,immediately
12_3_3,2,24_hours
12_3_3,3,72_hours
12_3_3,4,1_week
12_3_3,5,no
12_3_4,1,regularly
12_3_4,2,risk_based
12_3_4,3,contract_driven
12_3_4,4,never
12_3_5,1,formal_documented_process
12_3_5,2,automated_system
12_3_5,3,manual_process
12_3_5,4,third_party_managed
12_3_5,5,informal_process
12_3_5,6,not_currently_managed
12_3_6,1,yes
12_3_6,2,no
12_4_1,1,comprehensive_sbom
12_4_1,2,partial_sbom
12_4_1,3,planning_to_implement
12_4_1,4,no
12_4_2,1,formal_documented_process
12_4_2,2,automated_system
12_4_2,3,manual_process
12_4_2,4,not_currently_implemented
12_4_3,1,fully_implemented
12_4_3,2,partially_implemented
12_4_3,3,planned
12_4_3,4,not_implemented
12_4_3,5,not_applicable
12_4_4,1,formal_documented_process
12_4_4,2,automated_system
12_4_4,3,manual_process
12_4_4,4,third_party_managed
12_4_4,5,informal_process
12_4_4,6,not_currently_managed
12_4_5,1,fully_implemented
12_4_5,2,partially_implemented
12_4_5,3,planned
12_4_5,4,not_implemented
12_4_5,5,not_applicable
13_1_1,1,yes
13_1_1,2,no
13_1_10,1,formal_documented_process
13_1_10,2,automated_system
13_1_10,3,manual_process
13_1_10,4,not_currently_implemented
13_1_2,1,monthly
13_1_2,2,quarterly
13_1_2,3,annually
13_1_2,4,as_needed
13_1_2,5,never
13_1_3,1,phishing_and_social_engineering
13_1_3,2,password_security_and_mfa
13_1_3,3,data_handling_and_classification
13_1_3,4,device_and_endpoint_security
13_1_3,5,incident_reporting_procedures
13_1_3,6,acceptable_use_policies
13_1_3,7,remote_work_security
13_1_3,8,third_party_and_supply_chain_risk
13_1_3,9,secure_coding_practices
13_1_3,10,not_applicable
13_1_4,1,formal_documented_process
13_1_4,2,automated_system
13_1_4,3,manual_process
13_1_4,4,not_currently_implemented
13_1_5,1,yes
13_1_5,2,no
13_1_6,1,100
13_1_6,2,95_99
13_1_6,3,90_94
13_1_6,4,80_89
13_1_6,5,no
13_1_7,1,yes
13_1_7,2,no
13_1_8,1,monthly
13_1_8,2,quarterly
13_1_8,3,bi_annually
13_1_8,4,annually
13_1_8,5,never
13_1_9,1,quarterly
13_1_9,2,annually
13_1_9,3,bi_annually
13_1_9,4,as_needed
13_1_9,5,never
13_2_1,1,yes
13_2_1,2,no
13_2_2,1,monthly
13_2_2,2,quarterly
13_2_2,3,bi_annually
13_2_2,4,annually
13_2_2,5,never
13_2_3,1,formal_documented_process
13_2_3,2,automated_system
13_2_3,3,manual_process
13_2_3,4,third_party_managed
13_2_3,5,informal_process
13_2_3,6,not_currently_managed
13_2_4,1,yes
13_2_4,2,no
13_2_5,1,0_4_9
13_2_5,2,5_0_9_9
13_2_5,3,10_20
13_2_5,4,20
13_2_5,5,not_measured
13_3_1,1,yes
13_3_1,2,no
13_3_2,1,all_employees
13_3_2,2,privileged_it_administrators
13_3_2,3,developers_and_engineers
13_3_2,4,executive_leadership
13_3_2,5,contractors_and_temporary_staff
13_3_2,6,third_party_vendors
13_3_2,7,not_applicable
13_3_3,1,yes
13_3_3,2,no
13_3_4,1,formal_documented_process
13_3_4,2,automated_system
13_3_4,3,manual_process
13_3_4,4,not_currently_implemented
13_3_5,1,yes
13_3_5,2,no
13_3_6,1,formal_documented_process
13_3_6,2,automated_system
13_3_6,3,manual_process
13_3_6,4,third_party_managed
13_3_6,5,informal_process
13_3_6,6,not_currently_managed
13_4_1,1,yes
13_4_1,2,no
13_4_2,1,formal_documented_process
13_4_2,2,automated_system
13_4_2,3,manual_process
13_4_2,4,third_party_managed
13_4_2,5,informal_process
13_4_2,6,not_currently_managed
13_4_3,1,annual
13_4_3,2,bi_annual
13_4_3,3,based_on_role_changes
13_4_3,4,as_needed
13_4_3,5,no
13_4_4,1,dedicated_budget
13_4_4,2,part_of_it_budget
13_4_4,3,hr_budget
